TransactionAmount,PreviousTransactionDate,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,TransactionDate,AgeGroup,AmountGroup,Cluster
27036.8565,2023-04-11 16:29:14,1,36,0,4358.000000000001,0,23500.0,5.0,76053120.24539998,2024-11-04 8:08:08,1,0,3
721948.384,2023-06-27 16:44:19,1,15,0,4234.000000000001,0,40900.0,5.0,204687828.00339997,2024-11-04 8:09:35,1,0,0
242331.82650000002,2023-07-10 18:16:08,1,23,2,1196.0,3,16250.0,5.0,16697010.388999997,2024-11-04 8:07:04,2,0,1
354028.085,2023-05-05 16:32:11,1,33,2,1630.0,3,7260.000000000001,5.0,127479778.91439997,2024-11-04 8:09:06,2,0,3
176822.2875,2023-04-03 17:15:01,1,28,0,1134.0,3,49890.0,5.0,11628951.3732,2024-11-04 8:06:36,3,0,1
1565705.1060000001,2023-03-31 16:06:57,1,26,0,3428.0,0,34810.0,5.0,15202344.3212,2024-11-04 8:06:32,0,1,1
364620.13700000005,2023-02-06 17:30:00,1,22,2,1320.0,3,50180.0,5.0,22743810.129399996,2024-11-04 8:07:12,2,0,1
1500080.436,2023-11-20 16:39:15,1,22,0,1630.0,3,35680.0,5.0,2822070.0605999995,2024-11-04 8:07:06,2,1,1
320429.02150000003,2023-02-13 16:53:57,1,21,2,1134.0,3,38870.0,5.0,4462081.8782,2024-11-04 8:10:09,3,0,0
893128.9924999999,2023-12-12 16:23:31,1,10,0,2250.0,1,37420.0,5.0,51556038.78959999,2024-11-04 8:12:19,2,0,2
945858.9905000001,2023-12-14 18:32:14,1,8,2,2436.0,1,67870.0,5.0,76019796.34779999,2024-11-04 8:11:51,0,0,2
113826.44200000001,2023-02-28 16:36:58,1,20,1,4420.000000000001,2,11029.999999999998,5.0,85554596.54859999,2024-11-04 8:09:24,1,0,0
164580.0245,2023-08-11 18:31:31,1,19,1,2374.0,0,26980.0,5.0,136065591.8706,2024-11-04 8:08:13,2,0,0
100164.23000000001,2023-06-06 18:54:15,1,1,2,2436.0,1,34810.0,5.0,133517801.37819998,2024-11-04 8:07:01,0,0,2
279269.689,2023-03-02 16:43:56,1,33,2,1320.0,3,27850.0,5.0,28726491.120399997,2024-11-04 8:07:09,2,0,3
77368.292,2023-03-29 16:42:38,1,25,1,2312.0,1,27560.0,5.0,39966760.7948,2024-11-04 8:11:59,2,0,1
244557.6925,2023-01-24 16:18:32,1,19,2,2746.0,0,57140.0,5.0,26362577.134399995,2024-11-04 8:11:22,0,0,0
107782.06450000001,2023-09-20 16:55:42,1,11,1,1692.0,3,82080.0,5.0,20108841.9406,2024-11-04 8:08:30,2,0,0
113442.672,2023-02-06 16:24:24,1,3,0,1816.0,0,74540.0,5.0,146143839.38359997,2024-11-04 8:06:58,2,0,2
1684385.9785,2023-03-13 17:23:24,1,20,2,1382.0,3,43510.0,5.0,5935920.51,2024-11-04 8:07:50,2,1,0
239395.986,2023-10-16 16:32:56,1,39,1,3056.0,1,13060.0,5.0,85760341.86279999,2024-11-04 8:06:23,0,0,3
149920.0105,2023-11-21 16:58:44,1,25,1,1630.0,3,42060.0,5.0,13398242.0614,2024-11-04 8:12:18,2,0,1
644023.8855,2023-01-24 17:17:20,1,28,2,3428.0,2,62649.99999999999,5.0,15165301.238599999,2024-11-04 8:07:32,0,0,1
630284.9195000001,2023-07-31 18:39:50,1,35,0,3924.0,2,34520.0,5.0,64322066.91839998,2024-11-04 8:07:31,1,0,3
65279.53700000001,2023-01-09 16:13:21,1,30,2,2374.0,0,5519.999999999999,5.0,211465224.44519997,2024-11-04 8:11:45,2,0,1
106151.042,2023-04-12 16:03:37,1,40,0,1196.0,3,33940.0,5.0,3597148.2146,2024-11-04 8:08:03,2,0,3
583925.5035,2023-07-26 16:52:28,1,21,1,1692.0,3,9580.0,5.0,12922186.381399998,2024-11-04 8:09:53,2,0,0
835218.0995,2023-10-04 17:49:29,1,6,1,4606.000000000001,2,26110.0,5.0,69523272.75719999,2024-11-04 8:11:12,1,0,2
315631.89650000003,2023-12-13 16:01:38,1,3,1,1630.0,3,21760.0,5.0,22453118.6298,2024-11-04 8:10:33,2,0,2
979074.2839999999,2023-10-09 16:29:40,1,28,2,1196.0,3,30460.0,5.0,11629248.908,2024-11-04 8:11:35,2,0,1
1202927.325,2023-11-27 16:45:57,1,10,2,1630.0,3,40030.0,5.0,3950024.4874,2024-11-04 8:07:24,2,0,2
814667.216,2023-02-21 17:45:55,1,29,2,3180.0,1,76570.0,5.0,77118889.89899999,2024-11-04 8:09:17,0,0,1
163927.6155,2023-06-07 16:45:34,1,41,1,4172.000000000001,0,42060.0,5.0,221736423.27599996,2024-11-04 8:06:45,1,0,3
325245.335,2023-09-07 16:51:27,1,36,1,1754.0,3,41190.0,5.0,13670040.101199998,2024-11-04 8:08:58,2,0,3
200769.5355,2023-03-29 17:47:16,1,29,0,3862.0,2,26110.0,5.0,66614870.087199986,2024-11-04 8:10:42,1,0,1
608179.7675,2023-08-04 17:53:40,1,23,1,1568.0,3,24080.0,5.0,19697351.3122,2024-11-04 8:09:15,2,0,1
741674.162,2023-06-09 16:18:15,1,16,1,2994.0,1,8130.0,5.0,83765222.26139998,2024-11-04 8:07:09,0,0,0
215045.7795,2023-10-02 16:35:22,1,18,1,1444.0,3,14800.000000000002,5.0,13839932.472,2024-11-04 8:11:37,2,0,0
1090904.862,2023-10-06 18:44:37,1,16,0,2870.0,1,44089.99999999999,5.0,81820832.34339999,2024-11-04 8:09:17,0,0,0
670906.9739999999,2023-11-07 16:48:23,1,19,2,2994.0,1,65550.0,5.0,98954522.56879999,2024-11-04 8:08:09,0,0,0
11072.0245,2023-11-02 16:01:40,1,5,2,3118.0,0,35969.99999999999,5.0,208097725.5788,2024-11-04 8:11:32,0,0,2
572623.4770000001,2023-04-25 16:11:24,1,16,1,3490.0,2,65260.0,5.0,44849753.165,2024-11-04 8:10:12,0,0,0
999836.2409999999,2023-04-18 18:40:47,1,0,1,1568.0,3,37130.0,5.0,29030869.220799997,2024-11-04 8:12:10,2,0,2
256262.67750000005,2023-07-18 16:12:00,1,1,0,2746.0,1,63810.0,5.0,57220208.777200006,2024-11-04 8:10:18,0,0,2
274798.76850000006,2023-01-13 17:00:16,1,9,2,2188.0,1,39160.0,5.0,94836640.93679997,2024-11-04 8:09:26,2,0,2
47530.1745,2023-07-04 18:20:33,1,4,0,3862.0,2,15960.0,5.0,87267206.85739999,2024-11-04 8:12:15,1,0,2
445403.72200000007,2023-12-28 17:31:03,1,43,0,2312.0,1,14800.000000000002,5.0,99523557.87379998,2024-11-04 8:09:17,2,0,3
571158.3727445242,2023-06-12 17:53:52,1,18,2,1382.0,3,32780.0,5.0,9434483.455799999,2024-11-04 8:08:22,2,0,0
175632.6005,2023-03-13 16:32:12,1,25,1,2746.0,0,20020.000000000004,5.0,218331881.32699996,2024-11-04 8:11:36,0,0,1
230818.72650000002,2023-12-18 18:46:27,1,24,1,1196.0,3,22340.0,5.0,20268023.0586,2024-11-04 8:06:50,2,0,1
334359.87250000006,2023-07-17 18:54:31,1,39,2,3118.0,0,19440.0,5.0,156627478.06159997,2024-11-04 8:10:29,0,0,3
352512.19350000005,2023-06-19 18:22:10,1,10,0,2374.0,1,29590.0,5.0,8219797.634799999,2024-11-04 8:09:51,2,0,2
498728.56350000005,2023-11-06 16:34:10,1,10,2,3056.0,0,49310.0,5.0,106768381.48639998,2024-11-04 8:09:38,0,0,2
296865.5435,2023-07-03 16:40:24,1,36,2,2126.0,0,45540.0,5.0,22668087.5228,2024-11-04 8:09:42,2,0,3
47127.216,2023-10-20 17:27:35,1,23,1,3986.0000000000005,0,20020.000000000004,5.0,146832483.67819998,2024-11-04 8:12:05,1,0,1
754031.556,2023-11-20 16:28:09,1,18,2,1506.0,3,29010.000000000004,5.0,11777272.470999999,2024-11-04 8:08:38,2,0,0
442602.20100000006,2023-03-27 18:16:04,1,15,1,1320.0,3,39160.0,5.0,9194670.407,2024-11-04 8:10:44,2,0,0
1236065.8645,2023-03-02 16:05:09,1,35,0,1816.0,1,20890.0,5.0,17011950.974799998,2024-11-04 8:08:04,2,1,3
48662.296,2023-07-17 17:08:24,1,21,0,3552.0,1,22630.0,5.0,2990921.0595999993,2024-11-04 8:11:05,0,0,0
283260.89700000006,2023-09-01 17:26:02,1,5,1,4420.000000000001,2,38580.0,5.0,31476307.742,2024-11-04 8:07:22,1,0,2
220706.387,2023-09-11 16:19:04,1,35,1,2312.0,0,50760.0,5.0,113712843.71839999,2024-11-04 8:08:38,2,0,3
735629.7845,2023-01-24 17:23:56,1,13,1,1878.0,1,6970.0,5.0,132431799.35819998,2024-11-04 8:11:07,2,0,0
376401.87600000005,2023-02-24 16:29:23,1,41,1,1692.0,1,42350.0,5.0,140122032.5664,2024-11-04 8:08:32,2,0,3
249335.62900000004,2023-01-02 16:36:02,1,19,0,2002.0,1,68160.0,5.0,118343377.81079997,2024-11-04 8:06:35,2,0,0
588895.325,2023-11-30 16:31:03,1,7,2,2870.0,1,14800.000000000002,5.0,140110428.70919997,2024-11-04 8:10:48,0,0,2
220629.633,2023-11-01 16:52:01,1,39,2,3676.0,2,23210.0,5.0,91412907.99319999,2024-11-04 8:09:24,1,0,3
1451782.9815,2023-03-06 16:47:02,1,34,1,1692.0,3,4940.0,5.0,6258001.930999999,2024-11-04 8:11:40,2,1,3
966640.136,2023-11-27 18:32:49,1,20,2,1382.0,3,10160.0,5.0,6662202.9568,2024-11-04 8:09:22,2,0,0
274453.3755,2023-07-31 16:37:46,1,35,0,3924.0,2,42640.0,5.0,118738057.72299999,2024-11-04 8:10:42,1,0,3
629114.421,2023-02-10 16:52:48,1,14,2,2498.0,1,30170.0,5.0,7143316.7284,2024-11-04 8:06:30,0,0,0
4797.385,2023-07-21 16:43:11,1,36,2,2932.0,0,31040.0,5.0,180682125.26979998,2024-11-04 8:09:53,0,0,3
782219.4624999999,2023-07-07 16:11:38,1,4,2,1630.0,1,17990.0,5.0,124170894.40359998,2024-11-04 8:09:17,2,0,2
222260.6555,2023-05-22 17:09:52,1,14,1,2436.0,1,48440.0,5.0,96416848.25959998,2024-11-04 8:10:02,0,0,0
102793.0545,2023-08-16 16:17:12,1,15,0,4296.000000000001,2,35100.0,5.0,24566508.314199995,2024-11-04 8:08:43,1,0,0
609945.1095,2023-01-02 16:45:05,1,11,2,1692.0,3,26400.0,5.0,2164666.9199999995,2024-11-04 8:11:32,2,0,0
636386.8624999999,2023-08-25 17:26:07,1,32,2,2560.0,1,17700.000000000004,5.0,62074340.27179998,2024-11-04 8:11:00,0,0,1
9671.264000000001,2023-11-27 16:38:34,1,42,0,3490.0,2,11900.0,5.0,82690377.79639998,2024-11-04 8:10:48,0,0,3
1149026.8284999998,2023-09-04 16:48:35,1,30,1,3552.0,0,45830.0,5.0,21058424.2548,2024-11-04 8:10:13,0,0,1
1614290.388,2023-08-09 17:34:26,1,40,2,1630.0,3,23210.0,5.0,16418666.5836,2024-11-04 8:09:58,2,1,3
73204.3875,2023-09-07 16:07:40,1,23,2,1630.0,3,31329.999999999993,5.0,4517869.6532,2024-11-04 8:07:42,2,0,1
239319.23200000002,2023-07-03 17:14:07,1,28,1,2064.0,1,30460.0,5.0,93869355.30199999,2024-11-04 8:07:25,2,0,1
399197.814,2023-11-20 17:10:02,1,21,2,2932.0,1,79180.0,5.0,139022939.01519996,2024-11-04 8:08:45,0,0,0
731715.3304999999,2023-08-21 16:46:05,1,0,0,3490.0,0,21760.0,5.0,176071526.00899997,2024-11-04 8:09:32,0,0,2
31008.876,2023-10-16 16:59:36,1,25,0,3118.0,0,35969.99999999999,5.0,214242563.03579998,2024-11-04 8:11:59,0,0,1
932714.8679999999,2023-06-20 17:21:50,1,28,2,1134.0,3,19730.000000000004,5.0,26014907.720599998,2024-11-04 8:07:03,3,0,1
645482.2115,2023-01-16 16:53:38,1,35,1,1320.0,3,5230.0,5.0,14883684.5504,2024-11-04 8:09:57,2,0,3
450104.9045,2023-09-01 16:09:08,1,6,2,1444.0,3,34810.0,5.0,3927263.0752000003,2024-11-04 8:08:47,2,0,2
11513.36,2023-10-23 18:38:15,1,6,2,1878.0,0,71350.0,5.0,80970626.65239999,2024-11-04 8:09:43,2,0,2
435847.84900000005,2023-07-03 17:42:08,1,5,0,1134.0,3,85270.0,5.0,5087053.7256,2024-11-04 8:11:34,3,0,2
87979.5325,2023-02-16 17:57:10,1,20,0,1258.0,3,26689.999999999993,5.0,24682844.421,2024-11-04 8:07:24,2,0,0
797282.435,2023-07-28 16:29:23,1,22,0,4110.000000000001,0,40900.0,5.0,150458391.51839998,2024-11-04 8:10:23,1,0,1
509953.83599999995,2023-02-06 17:48:55,1,30,2,3366.0,2,26689.999999999993,5.0,66144616.335799985,2024-11-04 8:12:18,0,0,1
133168.45,2023-07-24 18:08:43,1,41,2,4978.000000000001,2,32780.0,5.0,95996282.81979999,2024-11-04 8:09:04,1,0,3
514060.17499999993,2023-10-09 16:52:47,1,35,2,1258.0,3,46410.0,5.0,8869018.568399997,2024-11-04 8:08:34,2,0,3
951807.4254999999,2023-11-03 16:45:52,1,37,1,3800.0,0,76860.0,5.0,191979372.8584,2024-11-04 8:09:41,1,0,3
721986.7609999999,2023-02-15 16:41:11,1,40,0,2312.0,1,71060.0,5.0,134819069.82599998,2024-11-04 8:09:58,2,0,3
68618.336,2023-09-19 17:38:18,1,5,1,1444.0,3,35390.0,5.0,9102583.386399997,2024-11-04 8:11:40,2,0,2
54745.050500000005,2023-05-31 16:37:39,1,42,2,3862.0,0,28720.0,5.0,128989321.72219999,2024-11-04 8:06:30,1,0,3
590180.9545,2023-01-09 16:12:01,1,11,1,2064.0,0,82660.0,5.0,78961969.21759999,2024-11-04 8:06:33,2,0,0
143645.371,2023-08-14 17:43:17,1,26,1,4358.000000000001,0,36260.0,5.0,102969159.62519997,2024-11-04 8:07:39,1,0,1
